Employee ID,Name,Role,Department,Experience Level,Years of Experience,AutoCAD,Autodesk Inventor,OpenCascade,Three.js,Eyeshot,HOOPS,JavaScript,C#,Python,React,Node.js,ASP.NET,Unity,Unreal Engine,Revit,Navisworks,Current Project,Client,Availability Status,Next Availability Date
EMP0147,Taylor Norman,Tester,CAD,Mid,4,0,3,2,0,1,1,1,1,3,1,2,1,3,3,3,2,Redefine Wireless Applications,Epic Games,Unavailable,2025-06-07
EMP0148,Phillip Wilson,Tester,CAD,Mid,3,1,0,0,1,2,2,3,0,0,0,0,2,3,1,2,0,Enhance Intuitive Schemas,Epic Games,Available,2025-08-20
EMP0149,Jessica Johnson,Designer,Game Testing,Junior,15,3,3,3,3,2,2,2,2,3,0,3,2,1,1,2,2,Unleash Mission-Critical Info-Mediaries,Roblox,Available,2025-08-10
EMP0150,Vincent Trujillo,Designer,Game Testing,Junior,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,0,3,Visualize Distributed Convergence,Dassault,Available,2025-06-27
EMP0151,Mr. Christopher Landry DDS,Tester,Game Testing,Senior,19,3,2,3,2,2,3,3,2,3,3,3,1,3,1,2,3,Generate Interactive Niches,Dassault,Available,2025-06-19
EMP0152,Emily Cook,Designer,CAD,Senior,15,3,1,1,1,2,3,0,2,3,3,1,2,2,3,2,3,Cultivate Strategic Infrastructures,Autodesk,Unavailable,2025-06-18
EMP0153,Molly Trujillo,Tester,BIM,Mid,18,2,1,2,3,3,0,3,3,2,2,1,2,1,1,2,0,Generate Cross-Platform Initiatives,Roblox,Available,2025-07-01
EMP0154,Norma Dominguez,Developer,CAD,Mid,20,0,0,3,3,3,3,3,2,2,1,2,3,3,3,2,3,Harness Intuitive Channels,Epic Games,Available,2025-08-23
EMP0155,Theodore Ball,Tester,Game Testing,Mid,16,0,2,3,1,3,3,2,2,3,1,1,2,3,2,3,2,Target Enterprise Users,Dassault,Unavailable,2025-07-06
EMP0156,Michael Harrington,Designer,CAD,Junior,19,2,3,2,3,2,3,3,1,3,3,1,3,2,2,3,2,Target Cutting-Edge Methodologies,Roblox,Unavailable,2025-05-29
EMP0157,Christopher Lewis,Developer,BIM,Mid,17,3,3,1,0,3,1,3,1,2,1,0,1,1,2,2,2,Transform Vertical Supply-Chains,Dassault,Available,2025-06-11
EMP0158,Samuel Freeman,Designer,CAD,Senior,17,1,1,3,3,1,3,3,2,1,2,3,1,3,2,2,3,Architect Mission-Critical Initiatives,Siemens,Available,2025-06-13
EMP0159,Jamie Lee,Developer,BIM,Junior,18,1,1,1,2,1,2,2,3,2,1,3,3,3,2,3,0,Innovate Compelling E-Commerce,Epic Games,Available,2025-07-29
EMP0160,Kristie Oliver,Developer,BIM,Junior,15,3,2,1,0,1,1,2,2,0,2,2,0,0,3,3,1,Whiteboard Cross-Platform Web-Readiness,Siemens,Unavailable,2025-05-28
EMP0161,Sara Davis,Developer,CAD,Senior,12,3,2,2,2,1,3,2,2,2,2,0,0,3,3,3,1,Transition E-Business Convergence,Epic Games,Unavailable,2025-06-25
EMP0162,Lori Davis,Designer,BIM,Senior,20,2,0,3,2,2,3,3,2,1,2,3,2,1,3,3,1,Drive Innovative E-Business,Roblox,Unavailable,2025-08-16
EMP0163,Jeffery Powell,Developer,BIM,Junior,5,1,3,2,1,3,0,3,2,1,2,0,1,1,3,2,3,Facilitate Granular Relationships,Epic Games,Unavailable,2025-08-18
EMP0164,Sean Cook Jr.,Tester,CAD,Mid,17,0,3,2,1,3,2,3,3,1,1,2,3,2,2,3,3,Empower Best-Of-Breed Roi,Autodesk,Available,2025-08-22
EMP0165,Kevin Collins,Developer,BIM,Mid,12,1,2,0,3,3,3,2,3,3,3,2,2,0,0,3,2,Synthesize Strategic Relationships,Epic Games,Partially Available,2025-07-09
EMP0166,Mitchell Edwards,Developer,CAD,Junior,3,3,0,3,3,3,2,2,2,3,0,0,3,3,3,2,3,Exploit Collaborative Partnerships,Epic Games,Unavailable,2025-07-05
EMP0167,Stephen Bright,Designer,BIM,Mid,5,2,2,3,3,1,3,1,2,2,1,3,2,0,2,2,1,Harness Clicks-And-Mortar Markets,Epic Games,Available,2025-07-29
EMP0168,Heather Frost,Designer,CAD,Mid,9,3,1,3,2,1,2,3,3,2,3,2,3,1,1,2,3,Deliver Virtual Bandwidth,Roblox,Unavailable,2025-07-25
EMP0169,Briana Curtis,Tester,CAD,Junior,7,3,1,3,0,2,2,3,3,3,2,1,1,1,2,3,3,Synergize Proactive Infrastructures,Autodesk,Unavailable,2025-06-30
EMP0170,Eric Carter,Developer,CAD,Junior,8,3,3,0,3,3,3,1,2,2,2,3,1,0,0,3,2,Integrate 24/365 Architectures,Dassault,Unavailable,2025-07-10
EMP0171,Lisa Marks,Designer,Game Testing,Senior,20,1,3,3,2,2,2,3,2,0,0,0,3,3,3,1,2,Engage Virtual E-Business,Roblox,Partially Available,2025-06-15
EMP0172,Cheryl Moore,Developer,Game Testing,Junior,11,1,1,1,3,2,1,3,2,2,3,0,3,3,2,1,1,Incubate Magnetic Technologies,Epic Games,Partially Available,2025-07-11
EMP0173,Kristi Sanford,Developer,Game Testing,Mid,1,3,2,3,2,0,2,3,3,1,3,2,1,3,3,0,3,Evolve 24/7 Systems,Dassault,Unavailable,2025-07-26
EMP0174,Robert Graves,Tester,Game Testing,Senior,7,2,2,3,2,0,2,2,2,2,2,3,1,2,3,1,2,Reinvent Magnetic Architectures,Autodesk,Partially Available,2025-06-14
EMP0175,Victoria Merritt,Designer,Game Testing,Mid,7,2,2,2,1,1,1,3,2,3,2,3,3,3,0,2,3,Enable Magnetic Methodologies,Autodesk,Partially Available,2025-07-28
EMP0176,Derrick Johnson,Developer,BIM,Mid,4,1,1,3,2,2,1,3,0,2,1,3,0,0,3,2,0,Matrix Proactive Web-Readiness,Roblox,Partially Available,2025-07-03
EMP0177,Molly Reynolds,Designer,CAD,Junior,3,0,2,3,2,2,3,2,2,3,0,2,1,1,3,2,2,Maximize Global Paradigms,Epic Games,Partially Available,2025-08-15
EMP0178,Alexis Morales,Tester,Game Testing,Mid,19,2,1,2,2,2,1,1,3,2,3,3,3,3,2,3,3,Mesh B2B Supply-Chains,Siemens,Available,2025-05-27
EMP0179,Sandra Ball,Tester,Game Testing,Mid,18,2,0,1,2,3,3,3,2,2,0,3,3,3,3,2,3,Iterate Real-Time Networks,Dassault,Partially Available,2025-06-01
EMP0180,Brandon Marsh,Designer,BIM,Senior,19,3,3,2,3,2,2,1,0,2,3,1,3,3,2,2,3,Strategize B2C Users,Siemens,Available,2025-06-12
EMP0181,Kathy Campbell,Tester,BIM,Junior,7,3,3,0,1,2,1,3,1,2,0,2,1,3,3,3,1,Utilize Leading-Edge Relationships,Autodesk,Unavailable,2025-07-27
EMP0182,Nicole Ramos,Designer,CAD,Mid,4,3,3,2,2,2,2,3,3,3,3,3,3,2,1,1,1,Cultivate Innovative Partnerships,Siemens,Unavailable,2025-07-10
EMP0183,Gabriel Jensen,Tester,Game Testing,Mid,8,2,3,0,2,1,3,1,3,2,3,2,2,0,3,1,2,Extend Value-Added Paradigms,Epic Games,Available,2025-08-12
EMP0184,Stephen Jensen,Tester,BIM,Senior,3,3,3,1,2,2,2,3,1,3,1,0,1,3,1,2,1,Seize One-To-One Roi,Epic Games,Partially Available,2025-08-15
EMP0185,Joseph Gutierrez,Developer,BIM,Junior,9,0,0,2,1,0,3,2,2,0,1,2,3,3,1,3,2,Engage Granular Initiatives,Siemens,Available,2025-07-17
EMP0186,Stanley Cowan PhD,Developer,CAD,Junior,8,1,3,3,1,3,2,1,2,0,3,3,3,2,2,2,2,Seize Transparent Web-Readiness,Roblox,Available,2025-06-26
EMP0187,Kyle Gomez,Developer,Game Testing,Senior,1,3,0,0,3,3,0,2,3,2,0,3,3,1,1,1,3,Productize Ubiquitous Supply-Chains,Epic Games,Available,2025-07-04
EMP0188,Kelly Meyers,Designer,Game Testing,Junior,10,0,2,3,3,3,3,3,1,3,1,2,2,1,0,3,1,Mesh Intuitive Initiatives,Autodesk,Available,2025-05-26
EMP0189,Jonathan Briggs,Designer,Game Testing,Senior,7,2,3,3,3,3,3,3,2,3,3,1,2,3,3,3,2,Innovate Cross-Platform Content,Siemens,Unavailable,2025-08-18
EMP0190,Jeremy Hill,Tester,Game Testing,Senior,20,2,0,0,1,2,2,3,2,3,3,3,1,1,3,3,2,Re-Contextualize Intuitive Partnerships,Autodesk,Unavailable,2025-06-12
EMP0191,Sandra Hernandez,Tester,CAD,Junior,18,2,2,1,3,1,3,3,2,0,1,2,3,2,3,1,2,Aggregate Leading-Edge Technologies,Dassault,Partially Available,2025-08-12
EMP0192,Amber Norman,Designer,BIM,Junior,14,3,1,1,2,2,1,0,2,3,3,1,2,2,1,0,3,Deliver Leading-Edge E-Business,Dassault,Unavailable,2025-06-08
EMP0193,Kelly Martinez,Designer,BIM,Senior,16,3,2,1,3,0,2,2,1,1,3,2,2,2,2,3,3,Synergize Collaborative Web-Readiness,Roblox,Available,2025-08-22
EMP0194,David Joseph,Tester,BIM,Junior,15,1,1,1,3,3,3,1,2,0,3,2,1,3,1,2,3,Maximize Compelling Paradigms,Dassault,Unavailable,2025-06-14
EMP0195,Charles Hardy,Developer,CAD,Senior,7,3,1,3,3,2,3,2,3,1,1,3,2,2,2,2,3,Morph Clicks-And-Mortar Infrastructures,Dassault,Available,2025-07-07
EMP0196,Evan Mcguire,Developer,BIM,Mid,4,1,3,3,3,2,2,0,0,3,1,1,3,3,3,1,3,Productize Transparent Mindshare,Roblox,Available,2025-07-19
EMP0197,Ronald King,Designer,Game Testing,Junior,8,3,3,2,0,2,2,2,3,1,2,2,2,1,2,2,2,Re-Contextualize Dot-Com Applications,Dassault,Available,2025-08-01
EMP0198,Maria Owens,Designer,BIM,Senior,14,3,3,2,3,0,1,1,3,0,3,3,0,2,3,2,3,Matrix Cross-Media Web-Readiness,Siemens,Available,2025-08-21
EMP0199,Christopher Garcia Jr.,Tester,BIM,Junior,15,1,2,3,2,2,3,3,2,3,3,1,1,1,3,2,3,Expedite Wireless Networks,Autodesk,Available,2025-07-30
EMP0200,Christian Barajas,Designer,CAD,Senior,12,3,3,3,3,1,0,0,2,3,2,1,3,3,2,2,2,Scale Vertical Content,Roblox,Unavailable,2025-07-06
EMP0201,David Phillips,Designer,BIM,Senior,10,3,1,2,3,0,0,2,2,0,3,2,3,2,0,2,1,Morph Scalable Web-Readiness,Dassault,Unavailable,2025-08-10
EMP0202,Christopher Holmes,Developer,BIM,Mid,2,2,2,3,2,3,3,2,3,1,1,1,2,3,3,1,3,Re-Contextualize Synergistic Bandwidth,Siemens,Partially Available,2025-08-03
EMP0203,Matthew Buchanan,Designer,BIM,Junior,12,2,3,3,2,3,0,2,3,2,2,3,1,2,3,1,0,Iterate B2B Channels,Dassault,Partially Available,2025-07-13
EMP0204,Albert Ramirez,Designer,CAD,Junior,11,1,2,0,1,2,3,1,1,1,0,1,2,1,3,0,3,Engineer Magnetic Channels,Siemens,Unavailable,2025-06-30
EMP0205,Gregory Young,Designer,Game Testing,Junior,19,3,0,3,2,1,2,3,2,3,3,2,0,0,0,0,0,Harness Impactful Bandwidth,Siemens,Partially Available,2025-08-21
EMP0206,Ashley Newton DVM,Developer,Game Testing,Mid,17,3,3,2,3,3,3,3,3,2,2,1,3,3,0,1,3,Repurpose B2C Metrics,Dassault,Available,2025-08-06
EMP0207,Felicia Morales,Developer,BIM,Mid,6,3,3,3,3,2,3,2,2,2,3,3,3,2,1,2,3,Integrate Compelling Info-Mediaries,Epic Games,Partially Available,2025-07-27
EMP0208,James Harris,Developer,CAD,Senior,19,0,2,3,3,2,2,3,1,3,2,2,2,3,3,2,0,Enable Bricks-And-Clicks Methodologies,Autodesk,Unavailable,2025-08-16
EMP0209,Jamie Reed,Designer,Game Testing,Junior,3,3,0,3,2,1,2,3,2,3,3,3,3,1,2,3,2,Deploy Value-Added Schemas,Roblox,Partially Available,2025-07-23
EMP0210,Mark Brooks,Designer,CAD,Senior,8,0,1,1,1,2,1,3,2,3,2,1,3,2,2,1,3,Revolutionize Transparent Markets,Roblox,Unavailable,2025-08-05
EMP0211,Brandon Maxwell,Developer,Game Testing,Senior,18,2,3,3,1,0,2,1,1,2,2,1,2,0,3,1,3,Maximize Visionary Action-Items,Siemens,Partially Available,2025-06-06
EMP0212,Raymond Davis,Designer,BIM,Mid,7,3,0,3,1,3,1,3,3,3,0,3,3,2,3,3,3,Expedite Front-End Metrics,Epic Games,Available,2025-08-05
EMP0213,Alexandria Smith,Designer,CAD,Mid,1,2,3,0,2,2,2,3,3,3,1,2,2,1,2,1,3,Envisioneer Back-End E-Markets,Siemens,Available,2025-06-20
EMP0214,Lisa Robbins,Designer,CAD,Junior,3,1,3,2,1,3,1,2,1,2,2,0,3,3,2,3,2,Synergize Integrated E-Services,Epic Games,Unavailable,2025-06-17
EMP0215,Kristin Bradley,Tester,Game Testing,Junior,8,1,3,3,3,3,2,1,1,2,1,3,0,2,3,3,3,Harness Proactive Portals,Autodesk,Available,2025-08-15
EMP0216,Jacob Mcintyre,Designer,Game Testing,Senior,10,0,3,1,3,2,0,3,2,2,1,3,2,2,3,3,2,Visualize Clicks-And-Mortar Action-Items,Autodesk,Available,2025-07-23
EMP0217,Nicole Reyes,Tester,Game Testing,Senior,2,2,3,3,1,3,2,3,2,2,3,3,1,2,3,2,3,Transition Sticky Channels,Siemens,Partially Available,2025-06-07
EMP0218,Cindy Weber,Designer,Game Testing,Mid,17,3,3,2,1,0,0,1,2,3,2,3,3,2,0,2,3,Incubate Rich E-Commerce,Epic Games,Available,2025-06-22
EMP0219,Charles Edwards,Tester,Game Testing,Junior,7,2,0,3,1,1,2,3,2,1,2,2,3,3,3,1,2,Revolutionize Compelling Communities,Epic Games,Available,2025-07-07
EMP0220,Alyssa Case,Designer,Game Testing,Senior,1,3,2,1,3,2,3,2,3,3,3,2,2,0,3,2,3,Grow Collaborative Mindshare,Siemens,Unavailable,2025-05-30
EMP0221,Stephanie Stewart,Designer,CAD,Mid,10,3,3,1,1,2,1,2,2,3,2,0,1,3,3,3,3,Whiteboard Interactive Convergence,Epic Games,Unavailable,2025-06-01
EMP0222,Brent Gutierrez,Tester,CAD,Senior,2,1,3,2,1,2,3,3,3,3,3,1,2,3,0,2,1,Empower Dynamic Initiatives,Autodesk,Available,2025-05-28
EMP0223,Brian Gates,Designer,BIM,Senior,11,2,1,1,3,2,0,3,3,1,3,3,1,1,0,3,2,Aggregate Cutting-Edge Action-Items,Epic Games,Unavailable,2025-08-14
EMP0224,Ashley Clark,Designer,CAD,Junior,14,3,1,1,0,3,2,2,3,0,3,0,3,3,1,3,2,Maximize Distributed Roi,Autodesk,Available,2025-08-04
EMP0225,Dana Schmidt,Designer,BIM,Senior,20,3,2,3,3,3,2,3,0,3,1,1,1,3,2,1,0,Extend Virtual Action-Items,Autodesk,Available,2025-08-04
EMP0226,Justin Drake,Developer,Game Testing,Mid,1,2,3,3,3,0,3,1,1,1,1,0,2,2,2,0,2,Harness Sticky Platforms,Autodesk,Unavailable,2025-07-24
EMP0227,Kristina Wise,Developer,Game Testing,Junior,19,3,3,3,3,3,3,2,1,0,1,3,0,2,3,2,3,Incubate Killer Deliverables,Autodesk,Unavailable,2025-08-22
EMP0228,Edwin James,Developer,BIM,Mid,15,3,3,0,3,3,3,1,2,3,1,3,3,3,2,2,1,Redefine Rich Schemas,Autodesk,Available,2025-08-18
EMP0229,Eric Stanley,Developer,CAD,Mid,10,2,3,3,2,2,3,2,3,3,3,3,2,2,2,2,2,Streamline Back-End Systems,Dassault,Unavailable,2025-08-10
EMP0230,Mr. Andrew Wood,Developer,BIM,Mid,9,2,1,1,2,2,1,3,1,1,0,3,3,1,1,1,3,Harness Back-End Users,Dassault,Available,2025-07-23
EMP0231,Chad Sexton,Developer,BIM,Senior,2,3,3,3,2,3,3,1,3,1,2,2,0,2,3,3,2,Exploit Dot-Com Infrastructures,Roblox,Partially Available,2025-06-01
EMP0232,Charles Nelson,Developer,CAD,Junior,13,1,2,2,3,2,3,0,1,0,1,1,0,0,0,0,0,Orchestrate Granular Models,Autodesk,Partially Available,2025-07-26
EMP0233,Brett Hamilton,Developer,Game Testing,Mid,6,3,3,1,1,2,3,2,3,3,1,2,3,1,2,3,2,Target Sticky Users,Autodesk,Partially Available,2025-08-08
EMP0234,Kevin Ellison,Developer,CAD,Junior,12,3,3,3,3,3,3,3,1,2,2,3,3,3,3,2,3,Scale Collaborative Technologies,Dassault,Unavailable,2025-08-18
EMP0235,Katie Charles,Tester,BIM,Mid,15,3,2,2,1,2,0,3,3,3,3,3,2,2,2,2,0,Enable Turn-Key Action-Items,Epic Games,Partially Available,2025-08-04
EMP0236,Zachary Foley,Designer,CAD,Junior,2,2,3,3,3,2,3,3,2,2,1,2,1,3,3,3,1,Engineer Frictionless Portals,Dassault,Unavailable,2025-07-24
EMP0237,Matthew Murray,Tester,BIM,Mid,17,3,3,0,2,0,0,0,2,1,2,2,3,2,2,2,1,Matrix Killer Paradigms,Siemens,Partially Available,2025-08-06
EMP0238,Michael Gonzalez,Tester,CAD,Junior,19,2,2,3,2,2,1,1,0,2,3,2,2,3,3,3,2,Synthesize Best-Of-Breed Eyeballs,Siemens,Partially Available,2025-06-08
EMP0239,Sandra Turner,Tester,CAD,Mid,14,1,1,2,3,3,1,3,3,1,2,3,3,2,0,1,0,Optimize Scalable Schemas,Autodesk,Available,2025-05-29
EMP0240,Lisa Mills,Tester,Game Testing,Junior,5,2,3,3,3,2,3,1,1,3,3,3,2,1,3,1,1,Engineer Robust Markets,Siemens,Unavailable,2025-08-04
EMP0241,Deanna Morales,Developer,BIM,Junior,12,1,1,1,0,1,0,3,2,2,3,2,1,2,3,1,2,Monetize Virtual Convergence,Dassault,Partially Available,2025-07-11
EMP0242,Dr. Jessica Wood,Tester,BIM,Mid,5,3,1,0,0,1,0,3,2,3,3,3,3,2,3,2,1,Morph Interactive Web Services,Siemens,Available,2025-05-29
EMP0243,Leslie May,Tester,BIM,Senior,10,1,1,3,3,3,3,2,1,3,3,2,3,2,3,2,3,Enable Rich E-Services,Siemens,Unavailable,2025-07-23
EMP0244,Lisa Cross,Developer,Game Testing,Junior,19,0,2,2,3,3,1,3,1,2,3,1,1,0,0,3,1,Leverage Intuitive Mindshare,Epic Games,Partially Available,2025-07-30
EMP0245,Crystal Jackson,Tester,Game Testing,Mid,1,3,0,0,2,3,2,2,3,3,3,1,2,3,1,3,3,Optimize Back-End Technologies,Roblox,Unavailable,2025-07-20
EMP0246,Jay Mcdowell,Tester,Game Testing,Junior,20,3,3,3,0,2,3,1,3,2,3,3,2,3,3,3,0,Redefine Customized Models,Epic Games,Available,2025-07-28
EMP0247,Michael Moreno,Tester,BIM,Mid,6,3,3,1,3,3,0,2,1,3,3,1,2,2,0,3,3,Revolutionize Frictionless Niches,Roblox,Available,2025-06-04
EMP0248,Ruth Bowen,Designer,CAD,Junior,16,2,2,3,1,2,1,3,3,0,3,3,1,3,3,2,3,Enhance B2B Models,Epic Games,Available,2025-07-14
EMP0249,Amanda Jones,Developer,CAD,Senior,16,1,3,2,2,1,3,2,2,1,2,2,3,2,0,1,2,Harness Intuitive Functionalities,Epic Games,Unavailable,2025-07-03
EMP0250,Katie Fisher,Developer,CAD,Mid,6,2,3,3,3,2,2,2,1,3,1,1,3,0,3,3,3,Transition Visionary E-Markets,Roblox,Partially Available,2025-06-29
EMP0251,Emily Chavez,Developer,Game Testing,Junior,12,2,3,1,2,1,2,1,1,0,2,2,3,2,2,1,1,Exploit Scalable E-Services,Epic Games,Available,2025-08-10
EMP0252,Penny Molina MD,Tester,Game Testing,Junior,14,1,2,2,2,2,1,3,0,3,3,2,2,3,3,3,3,Aggregate Proactive Solutions,Epic Games,Partially Available,2025-07-24
EMP0253,Elaine Martin,Designer,Game Testing,Junior,5,2,1,1,0,1,2,3,0,2,2,3,3,1,3,3,1,Brand Impactful Web-Readiness,Dassault,Available,2025-07-08
EMP0254,Veronica Spears,Developer,CAD,Junior,16,3,3,2,2,1,2,2,0,0,2,3,0,3,3,2,2,Strategize Innovative Schemas,Epic Games,Unavailable,2025-08-14
EMP0255,Susan Hess,Designer,CAD,Mid,3,2,3,3,2,3,2,2,1,1,2,3,3,3,3,2,2,Drive Frictionless Solutions,Siemens,Available,2025-05-30
EMP0256,Teresa Murray,Tester,Game Testing,Senior,2,3,3,1,3,0,2,3,2,3,2,3,3,3,3,3,1,Transition E-Business Web Services,Dassault,Available,2025-07-10
EMP0257,Jenny Barrett,Designer,BIM,Mid,16,3,1,3,3,3,3,2,1,3,1,2,3,3,2,3,3,Implement Customized Action-Items,Autodesk,Unavailable,2025-06-05
EMP0258,Robin Brewer,Designer,CAD,Mid,2,3,3,3,3,3,3,2,1,1,3,3,1,2,3,2,1,Orchestrate Transparent Platforms,Epic Games,Available,2025-05-26
EMP0259,Connor Robinson,Designer,BIM,Senior,12,2,3,2,2,2,1,2,2,3,2,3,3,2,1,0,3,Re-Intermediate Global Systems,Epic Games,Available,2025-08-19
EMP0260,Linda Morrow,Tester,BIM,Junior,7,3,3,0,2,2,3,3,2,2,1,3,2,2,1,2,2,Benchmark Value-Added Technologies,Siemens,Available,2025-05-30
EMP0261,John Nelson,Tester,CAD,Mid,14,3,3,2,2,2,2,3,3,3,3,2,1,1,0,2,2,Redefine One-To-One Experiences,Autodesk,Available,2025-07-24
EMP0262,Mary Turner,Designer,Game Testing,Mid,3,2,2,3,2,1,3,0,3,1,0,1,1,3,2,0,1,Synergize World-Class E-Commerce,Autodesk,Available,2025-06-22
EMP0263,Justin Walker PhD,Tester,Game Testing,Junior,11,1,1,0,3,3,0,3,2,3,0,1,3,3,0,1,1,Scale Proactive Deliverables,Siemens,Partially Available,2025-06-19
EMP0264,Kelly Butler,Developer,BIM,Mid,20,2,1,1,3,3,3,2,2,0,1,0,1,3,1,2,3,Scale B2B Schemas,Siemens,Partially Available,2025-07-04
EMP0265,Jessica Solomon,Tester,CAD,Senior,12,2,0,2,1,1,0,3,3,3,2,3,3,1,2,3,3,Visualize Real-Time Roi,Autodesk,Partially Available,2025-06-24
EMP0266,Lauren Weiss,Tester,Game Testing,Mid,6,2,3,3,2,3,3,3,2,2,1,3,1,3,0,2,2,Empower Transparent Vortals,Siemens,Available,2025-05-26
EMP0267,Brittany Hoffman,Tester,CAD,Junior,18,3,3,3,3,1,3,3,2,2,0,1,2,3,3,2,3,Evolve Viral Networks,Autodesk,Available,2025-06-03
EMP0268,Katherine Jackson,Developer,Game Testing,Mid,9,3,2,3,1,1,0,2,2,2,2,2,3,2,3,0,2,Deliver Holistic Content,Epic Games,Available,2025-08-05
EMP0269,Kimberly Torres,Developer,Game Testing,Mid,14,2,2,1,3,3,1,0,3,2,1,3,3,0,0,1,3,Expedite 24/7 E-Tailers,Epic Games,Partially Available,2025-08-03
EMP0270,Nathan Vasquez,Developer,BIM,Mid,11,3,3,3,2,3,1,2,1,1,3,3,3,2,1,3,2,Transition Intuitive Partnerships,Siemens,Available,2025-07-03
EMP0271,Eric Huang DDS,Developer,Game Testing,Mid,9,3,3,2,3,3,1,3,3,3,0,2,3,2,2,0,3,Harness B2C Methodologies,Dassault,Available,2025-07-27
EMP0272,Molly Hood,Developer,BIM,Junior,3,3,2,3,2,1,1,1,3,3,2,2,3,2,3,2,2,Synthesize Revolutionary Schemas,Siemens,Partially Available,2025-08-04
EMP0273,Adrian Davis,Designer,Game Testing,Mid,7,0,2,1,1,3,2,3,0,2,2,3,2,3,3,1,3,Matrix Proactive Infrastructures,Siemens,Available,2025-07-14
EMP0274,Charles Beck,Designer,Game Testing,Senior,2,3,3,2,3,1,3,3,1,2,2,3,2,2,1,3,2,Engage Visionary E-Business,Siemens,Partially Available,2025-07-18
EMP0275,Cynthia Landry,Tester,Game Testing,Junior,4,3,1,3,3,3,3,3,3,3,2,3,1,3,3,3,0,Unleash Cutting-Edge Content,Epic Games,Available,2025-06-26
EMP0276,Amy Cox,Designer,BIM,Junior,1,3,1,3,1,2,1,3,3,2,3,2,1,3,1,1,1,Repurpose Innovative Schemas,Dassault,Available,2025-06-06
EMP0277,Dan Munoz,Developer,BIM,Junior,6,3,1,0,3,3,3,3,2,2,1,3,3,1,2,0,3,Scale Turn-Key Communities,Roblox,Available,2025-08-11
EMP0278,Mary Miller,Tester,Game Testing,Senior,12,0,1,3,3,0,1,0,3,0,2,1,2,3,2,2,3,Seize Killer Schemas,Epic Games,Unavailable,2025-06-10
EMP0279,Aaron Cox,Tester,BIM,Mid,1,2,3,2,1,3,1,2,0,2,3,3,1,0,3,2,2,Monetize Scalable Convergence,Siemens,Available,2025-07-03
EMP0280,Troy Cherry,Tester,Game Testing,Senior,9,3,1,1,3,2,0,2,3,1,3,1,2,1,3,3,1,Enable User-Centric E-Business,Siemens,Available,2025-05-31
EMP0281,Kimberly Powell,Designer,CAD,Senior,1,1,3,1,1,3,3,3,1,3,2,0,1,0,3,3,2,Incentivize Robust Paradigms,Roblox,Partially Available,2025-05-27
EMP0282,James Jacobs,Developer,Game Testing,Senior,14,2,2,2,3,2,2,3,2,2,3,3,1,1,0,1,2,Engineer Web-Enabled Architectures,Dassault,Unavailable,2025-06-29
EMP0283,Susan Banks,Designer,CAD,Mid,1,3,0,0,2,3,2,2,1,2,2,1,0,3,3,3,3,Scale E-Business Platforms,Autodesk,Unavailable,2025-08-03
EMP0284,Stephanie Haynes,Tester,BIM,Senior,8,2,2,2,3,2,1,1,2,3,2,0,3,2,3,2,0,Grow One-To-One Schemas,Roblox,Partially Available,2025-05-31
EMP0285,Donald Johnson,Tester,BIM,Mid,10,2,2,3,3,0,2,2,2,3,3,3,2,2,2,0,3,Incentivize Real-Time E-Commerce,Roblox,Partially Available,2025-08-21
EMP0286,Jennifer Schultz,Tester,CAD,Senior,7,3,3,3,3,2,2,2,3,2,3,2,3,3,2,2,0,Syndicate Next-Generation E-Tailers,Siemens,Available,2025-06-27
EMP0287,Ricky Dominguez,Designer,BIM,Mid,20,3,3,3,3,1,3,2,0,2,3,2,3,2,1,1,0,E-Enable Real-Time Web Services,Autodesk,Partially Available,2025-07-17
EMP0288,Felicia Richardson,Tester,BIM,Mid,12,3,1,3,2,1,3,3,1,3,3,3,3,3,2,1,1,Benchmark Killer E-Business,Roblox,Unavailable,2025-08-07
EMP0289,Rachel Holt,Tester,CAD,Junior,9,3,1,1,3,0,2,3,2,0,3,3,3,3,3,2,2,Morph Real-Time Paradigms,Autodesk,Partially Available,2025-06-25
EMP0290,Andrew White,Developer,CAD,Junior,18,2,3,0,3,3,1,3,1,3,2,3,2,3,3,3,3,Orchestrate One-To-One Bandwidth,Autodesk,Unavailable,2025-06-26
EMP0291,Stephen Thompson,Tester,BIM,Mid,10,1,3,2,3,3,0,3,3,3,2,3,2,2,1,3,3,Incentivize Virtual Content,Epic Games,Available,2025-06-15
EMP0292,Desiree Davis,Designer,Game Testing,Junior,14,2,3,2,3,3,1,3,1,2,3,3,3,2,3,3,3,Embrace Extensible Supply-Chains,Autodesk,Available,2025-07-27
EMP0293,Emily Anthony,Designer,CAD,Mid,16,3,3,3,2,1,2,0,3,3,0,3,3,2,3,3,3,Utilize Dynamic E-Markets,Dassault,Partially Available,2025-06-12
EMP0294,Dawn Reynolds,Tester,CAD,Junior,5,2,3,3,3,2,1,3,3,2,1,3,2,2,3,0,3,Leverage Frictionless Synergies,Dassault,Partially Available,2025-08-07
EMP0295,Taylor King,Developer,Game Testing,Mid,3,1,1,2,3,0,3,3,1,3,3,2,3,2,3,1,3,Repurpose Seamless Portals,Dassault,Unavailable,2025-08-14
